Rank;Country;Waste Generated;annually per capita in kg;Recycling;annually per capita in kg;Incineration;annually per capita in kg;Landfill;annually per capita in kg;Open Dump;annually per capita in kg;Unaccounted Waste;annually per capita in kg;Final score
1;Turkey;1.11;425;0.00;0;0.00;0;1.49;216;10.00;176;0.59;4;0.00
2;Latvia;1.25;438;1.69;93;0.00;0;1.72;250;0.00;0;10.00;68;11.63
3;New Zealand;4.17;727;0.00;0;0.00;0;5.00;727;0.00;0;0.00;0;24.37
4;Mexico;1.08;421;0.38;21;0.00;0;2.16;314;5.03;89;0.00;0;32.15
5;Chile;0.73;387;0.03;1;0.00;1;2.27;330;1.86;33;3.04;21;32.19
6;Italy;1.76;489;2.31;127;0.37;92;0.89;129;0.00;0;7.89;54;32.28
7;Estonia;0.45;360;1.62;89;0.74;185;0.18;27;0.00;0;6.83;46;48.98
8;Canada;3.96;706;2.65;145;0.08;21;3.51;511;0.00;0;0.00;0;51.19
9;Slovak Republic;0.64;378;0.52;29;0.14;35;1.55;226;0.00;0;2.74;19;54.10
10;Israel;3.34;644;2.93;161;0.00;0;3.33;483;0.00;0;0.00;0;57.35
11;Greece;1.91;504;1.74;96;0.00;0;2.77;402;0.00;0;0.00;0;62.13
12;United States;5.00;809;5.10;280;0.42;104;2.93;425;0.00;0;0.00;0;65.29
13;Slovenia;1.58;471;3.98;219;0.31;77;0.70;102;0.00;0;4.07;28;67.46
14;Lithuania;1.42;455;1.90;104;0.21;52;1.66;242;0.00;0;0.92;6;68.47
15;Spain;1.49;462;1.42;78;0.20;51;1.65;240;0.00;0;0.00;0;70.74
16;Ireland;3.05;616;3.70;203;0.40;100;1.66;241;0.00;0;0.87;6;71.04
17;United Kingdom;1.55;468;2.32;128;0.61;152;0.75;109;0.00;0;1.84;12;72.60
18;Austria;2.58;570;2.66;146;0.85;212;0.11;17;0.00;0;1.84;12;73.77
19;Portugal;0.73;387;1.14;63;0.38;94;1.53;222;0.00;0;0.00;0;75.48
20;France;2.02;514;2.08;114;0.70;174;0.89;129;0.00;0;0.01;0;79.10
21;Hungary;0.71;385;1.82;100;0.21;53;1.39;202;0.00;0;0.03;0;79.32
22;Luxembourg;2.96;607;3.14;172;0.85;212;0.76;111;0.00;0;0.26;2;80.01
23;Iceland;3.45;656;6.67;366;0.12;30;3.31;481;0.00;0;0.00;0;80.10
24;Australia;2.48;560;4.29;236;0.22;55;1.88;273;0.00;0;0.00;0;80.85
25;Czech Republic;0.29;344;1.60;88;0.22;56;1.15;167;0.00;0;0.00;0;82.22
26;Denmark;4.72;781;3.88;213;1.67;415;0.06;9;0.00;0;0.02;0;84.43
27;Poland;0.00;315;1.51;83;0.15;38;0.87;127;0.00;0;0.00;0;84.74
28;Norway;1.08;422;2.01;110;0.89;221;0.10;14;0.00;0;0.88;6;84.97
29;Belgium;0.96;410;2.56;141;0.73;181;0.03;4;0.00;0;1.39;9;85.44
30;Finland;1.97;510;2.61;143;0.96;240;0.40;58;0.00;0;0.01;0;87.18
31;Germany;3.22;633;5.51;303;0.79;198;0.01;1;0.00;0;1.86;13;87.32
32;Netherlands;2.00;513;2.30;126;0.99;248;0.05;7;0.00;0;0.00;0;87.43
33;Switzerland;3.96;706;4.11;226;1.36;340;0.00;0;0.00;0;0.00;0;89.14
34;Japan;0.32;346;1.30;71;1.11;278;0.03;4;0.00;0;0.00;0;92.48
35;Sweden;1.39;452;2.66;146;0.92;229;0.02;4;0.00;0;0.00;0;93.09
36;South Korea;0.45;359;3.79;208;0.36;90;0.40;57;0.00;0;0.00;0;100.00
